1,201,55
2,151,63
3,816,70
4,450,31
5,771,58
6,365,42
7,895,15
8,677,48
9,994,52
10,169,35
11,1,73
12,538,88
13,499,93
14,13,31
15,248,11
16,232,75
17,305,93
18,966,62
19,102,100
20,444,77
21,609,41
22,750,49
23,896,86
24,133,14
25,948,70
26,967,38
27,279,13
28,69,22
29,793,29
30,514,24
31,456,20
32,932,48
33,467,30
34,128,79
35,236,60
36,399,7
37,362,54
38,910,86
39,595,99
40,743,35
41,482,50
42,587,10
43,683,83
44,102,86
45,830,22
46,343,19
47,536,16
48,352,70
49,308,58
50,44,5
51,934,94
52,332,77
53,343,89
54,223,32
55,659,7
56,236,79
57,703,33
58,310,67
59,314,68
60,83,57
61,23,33
62,338,52
63,849,65
64,383,98
65,789,23
66,118,19
67,17,66
68,37,37
69,392,72
70,119,36
71,165,98
72,746,47
73,665,55
74,896,48
75,57,55
76,111,86
77,598,11
78,983,13
79,961,38
80,601,14
81,382,81
82,676,25
83,525,26
84,845,91
85,277,80
86,232,79
87,327,70
88,16,34
89,240,58
90,188,84
91,573,46
92,793,73
93,451,79
94,62,32
95,1,93
96,667,11
97,136,17
98,10,51
99,397,38
100,812,23
101,496,68
102,244,18
103,129,96
104,479,63
105,534,64
106,749,66
107,489,82
108,861,36
109,798,87
110,61,5
111,392,40
112,351,62
113,325,40
114,602,34
115,940,88
116,915,74
117,48,61
118,959,94
119,197,42
120,869,74
121,43,7
122,383,6
123,853,22
124,137,13
125,196,6
126,89,100
127,22,14
128,60,93
129,536,92
130,121,85
131,420,49
132,107,80
133,155,22
134,185,69
135,213,18
136,447,33
137,246,60
138,309,66
139,433,89
140,733,97
141,33,41
142,409,87
143,202,28
144,748,67
145,892,67
146,755,52
147,314,16
148,109,68
149,852,30
150,34,73
151,897,41
152,604,41
153,959,91
154,18,65
155,370,39
156,307,15
157,466,58
158,535,88
159,875,33
160,829,73
161,659,93
162,961,14
163,186,25
164,564,14
165,78,34
166,572,50
167,142,99
168,736,50
169,33,39
170,583,30
171,148,92
172,75,74
173,600,54
174,880,53
175,130,49
176,106,18
177,40,58
178,385,58
179,39,82
180,328,28
181,28,38
182,91,6
183,453,37
184,736,94
185,697,53
186,633,10
187,541,8
188,779,23
189,190,17
190,428,95
191,386,18
192,944,19
193,857,68
194,647,15
195,852,96
196,353,42
197,764,77
198,198,95
199,519,63
200,246,49
201,781,29
202,452,60
203,80,13
204,880,43
205,452,94
206,590,22
207,454,99
208,406,44
209,430,63
210,519,82
211,977,53
212,249,57
213,693,89
214,476,63
215,123,25
216,182,51
217,70,57
218,357,78
219,238,55
220,777,46
221,169,63
222,104,36
223,238,24
224,420,73
225,257,17
226,347,93
227,493,96
228,14,23
229,801,83
230,960,98
231,563,47
232,742,17
233,578,41
234,796,70
235,854,71
236,704,35
237,200,25
238,698,78
239,690,24
240,295,61
241,222,39
242,401,30
243,722,92
244,122,62
245,67,68
246,657,96
247,716,90
248,87,81
249,668,91
250,566,36
251,962,9
252,470,53
